收入,利用率
53.13856562922869,0.6473614879999999
95.11111111111113,0.725075529
60.68421052631579,0.628755365
22.835400124899635,0.677090434
20.091317942348045,0.7260153140000001
46.363687150838,0.622098388
22.765025016577248,0.682274295
88.03338632750399,0.605587278
20.46918180406769,0.755763414
19.63868129388872,0.7109102490000001
32.26190476190476,0.605615224
48.76578560939794,0.634420186
58.8,0.7846912420000001
64.94736842105263,0.548405638
23.801622688399966,0.6685504320000001
20.581606643644136,0.71355431
48.328171828171826,0.621062479
23.3,0.6824648040000001
95.60013812154696,0.613853263
20.734083951642194,0.745491384
20.48746790884789,0.701011735
32.37924151696607,0.6217223270000001
37.188712915458396,0.61056157
55.555555555555564,0.697825375
66.95652173913044,0.17181305300000002
24.12913663774085,0.67037488
20.479445115535984,0.699975985
46.32869726471952,0.619852449
22.814182650008803,0.661586111
97.05182724252492,0.596529241
20.49691468203376,0.72422037
20.109862555720653,0.6853457190000001
32.64247787610619,0.633257195
36.20876656472986,0.632209365
104.08333333333331,0.70449003
50.764705882352935,0.546910641
22.564846913122874,0.69072363
20.053263744905983,0.711376077
45.996798975672206,0.636369206
22.124638700101556,0.656983845
101.64719626168224,0.5849640970000001
20.345671758715238,0.739143925
19.969829271471397,0.719500007
29.399342105263162,0.6326001370000001
35.28333663562513,0.604248115
68.29411764705883,0.70449003
52.88888888888889,0.47359993200000006
22.9545377197958,0.65316006
20.403428918221817,0.699300085
45.78402625820569,0.594165374
22.375472292191443,0.653881594
100.81516587677727,0.59041499
20.403523534052066,0.706128462
20.068829152312095,0.668459598
29.47368421052632,0.602448456
32.120866141732286,0.6267813529999999
50.45454545454545,0.218185994
66.60606060606061,0.64731606
22.689231221375923,0.670475333
20.54520711382872,0.696958517
45.39133152740154,0.606708664
22.75733621686118,0.650909009
99.05128205128206,0.544392379
20.64370333499253,0.703298662
19.85990596061844,0.694738222
30.262453531598517,0.57261749
32.48616600790514,0.61968716
68.42105263157895,0.237342372
78.05882352941177,0.461992456
22.540359245733022,0.672747035
20.766505927993904,0.692252179
44.382988298829886,0.618914443
22.328596934979917,0.6595777589999999
98.64425162689804,0.6042584360000001
20.69266565503288,0.7000967570000001
19.880442422989454,0.684229365
31.437640029873037,0.605703626
