日期,从化区,南沙区,增城区,天河区,海珠区,番禺区,白云区,花都区,荔湾区,越秀区,黄浦区
2017/2/1,0.647361488,0.725075529,0.628755365,0.677090434,0.726015314,0.622098388,0.682274295,0.605587278,0.755763414,0.710910249,0.605615224
2017/2/2,0.634420186,0.784691242,0.548405638,0.668550432,0.71355431,0.621062479,0.682464804,0.613853263,0.745491384,0.701011735,0.621722327
2017/2/3,0.61056157,0.697825375,0.171813053,0.67037488,0.699975985,0.619852449,0.661586111,0.596529241,0.72422037,0.685345719,0.633257195
2017/2/4,0.632209365,0.70449003,0.546910641,0.69072363,0.711376077,0.636369206,0.656983845,0.584964097,0.739143925,0.719500007,0.632600137
2017/2/5,0.604248115,0.70449003,0.473599932,0.65316006,0.699300085,0.594165374,0.653881594,0.59041499,0.706128462,0.668459598,0.602448456
2017/2/6,0.626781353,0.218185994,0.64731606,0.670475333,0.696958517,0.606708664,0.650909009,0.544392379,0.703298662,0.694738222,0.57261749
2017/2/7,0.61968716,0.237342372,0.461992456,0.672747035,0.692252179,0.618914443,0.659577759,0.604258436,0.700096757,0.684229365,0.605703626
